source,full_name,country,url,filename,file_type,active,short_description,long_description,download_method
Opendatasoft,Opendatasoft,FR,http://public.opendatasoft.com/explore/dataset/code-postal-code-insee-2015/download/?format=csv&timezone=Europe/Berlin&use_labels_for_header=true,code-postal-code-insee-2015.csv,geo,yes,Code Postal - Code INSEE,,get
Geonames,GeoNames,CH,http://download.geonames.org/export/zip/CH.zip,CH.zip,geo,yes,Geoinformation on postal codes in Switzerland,,get
Geonames,GeoNames,UK,http://download.geonames.org/export/zip/GB_full.csv.zip,GB_full.csv.zip,geo,yes,Geoinformation on postal codes in the United Kingdom,,get
Geonames,GeoNames,SE,http://download.geonames.org/export/zip/SE.zip,SE.zip,geo,yes,Geoinformation on postal codes in Sweden,,get
Geonames,GeoNames,CZ,http://download.geonames.org/export/zip/CZ.zip,CZ.zip,geo,yes,Geoinformation on postal codes in Czech Republic,,get
Geonames,GeoNames,PL,http://download.geonames.org/export/zip/PL.zip,PL.zip,geo,yes,Geoinformation on postal codes in Poland,,get
Eurostat,Eurostat,CZ,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_cz_NUTS-2016_v1.0.zip,pc2018_cz_NUTS-2016_v1.0.zip,geo,no,Correspondence table between CZ postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,SE,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_se_NUTS-2016_v1.0.zip,pc2018_se_NUTS-2016_v1.0.zip,geo,no,Correspondence table between SE postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,UK,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_uk_NUTS-2016_v1.0.zip,pc2018_uk_NUTS-2016_v1.0.zip,geo,no,Correspondence table between UK postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,PL,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_pl_NUTS-2016_v1.0.zip,pc2018_pl_NUTS-2016_v1.0.zip,geo,no,Correspondence table between PL postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,CH,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_ch_NUTS-2016_v1.0.zip,pc2018_ch_NUTS-2016_v1.0.zip,geo,no,Correspondence table between CH postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,FR,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_fr_NUTS-2016_v1.0.zip,pc2018_fr_NUTS-2016_v1.0.zip,geo,no,Correspondence table between FR postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,DK,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_dk_NUTS-2016_v1.0.zip,pc2018_dk_NUTS-2016_v1.0.zip,geo,no,Correspondence table between DK postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,DE,http://ec.europa.eu/eurostat/tercet/download.do?file=pc2018_de_NUTS-2016_v1.0.zip,pc2018_de_NUTS-2016_v1.0.zip,geo,no,Correspondence table between DE postal codes and NUTS-3 classification codes,,get
Eurostat,Eurostat,EU,https://ec.europa.eu/eurostat/documents/345175/501971/EU-28-LAU-2018-NUTS-2016.xlsx,EU-28-LAU-2018-NUTS-2016.xlsx,geo,yes,Mapping from LAU to NUTS,,get
Eurostat_shapefile,Eurostat,EU,https://ec.europa.eu/eurostat/cache/GISCO/distribution/v2/nuts/download/ref-nuts-2016-01m.shp.zip,ref-nuts-2016-01m.shp.zip,geo,yes,Shapefile,,get
